sample_id,Condition,mouse_id,n_cells,mean_depth,median_depth,q05_depth,q25_depth,q75_depth,q95_depth,p99_depth,max_depth,median_cell_area,q25_cell_area,q75_cell_area,p95_cell_area,median_nucleus_area,q25_nucleus_area,q75_nucleus_area,p95_nucleus_area,median_nucleus_count,iqr_depth
4_21-2,Pmel1.Il21,776,22014,942.75,614.0,102.0,306.0,1227.75,2908.0,4692.0,15884.0,74.35,41.86,139.16,291.65,24.57,14.22,43.62,90.08,1.0,921.75
4_21-3,Pmel1.Il21,764,11571,937.68,661.0,126.0,345.0,1220.5,2678.0,4423.0,10012.0,87.69,49.13,147.84,289.68,28.54,16.03,48.03,84.28,1.0,875.5
8_21-1,Pmel1.Il21,644,31802,660.24,450.0,27.0,100.0,1022.0,1978.0,2993.96,6353.0,84.44,51.93,121.65,192.09,33.28,18.79,51.21,77.58,1.0,922.0
8_21-2,Pmel1.Il21,759,11397,403.45,337.0,79.0,200.0,527.0,955.2,1416.08,2531.0,49.9,33.69,72.43,129.07,18.65,12.24,26.46,39.66,1.0,327.0
8_21-3,Pmel1.Il21,760,15588,902.5,764.5,179.35,444.0,1176.0,2109.0,3238.13,8615.0,90.76,59.56,129.52,214.19,35.27,21.09,51.25,75.41,1.0,732.0
B_07b,Pmel1.Il21,778,7931,801.3,621.0,43.0,227.0,1172.0,2199.0,3187.8,6873.0,94.47,54.48,139.89,225.28,32.04,17.43,52.01,77.53,1.0,945.0
B_12a,Pmel1.Il21,767,7437,680.82,426.0,33.0,156.0,899.0,2267.0,3526.4,8045.0,72.3,42.9,126.44,258.71,21.58,12.69,34.0,75.25,1.0,743.0
B_14a,Pmel1.Il21,631,14621,251.7,190.0,31.0,96.0,338.0,680.0,1077.8,2246.0,46.65,30.44,69.59,126.08,16.35,10.43,23.84,36.67,1.0,242.0
B_15a,Pmel1.Il21,758,18001,473.67,396.0,105.0,241.0,609.0,1107.0,1704.0,3911.0,55.54,37.3,82.64,144.27,19.37,12.19,27.59,43.17,1.0,368.0
4_15-1,Pmel1.Il15,645,16313,1345.94,1012.0,183.0,517.0,1817.0,3614.4,5533.76,13199.0,108.87,59.11,179.63,339.16,34.91,19.28,58.88,101.38,1.0,1300.0
4_15-2,Pmel1.Il15,449,10460,868.97,614.5,73.95,285.0,1202.0,2465.1,3949.66,9023.0,89.59,49.45,148.3,273.2,29.08,15.62,50.98,85.71,1.0,917.0
4_15-3,Pmel1.Il15,786,14779,792.19,499.0,110.9,273.0,938.0,2520.1,4657.44,10715.0,57.35,34.91,107.58,261.92,20.09,12.33,33.27,82.77,1.0,665.0
8_15-1,Pmel1.Il15,797,6739,205.34,88.0,16.0,43.0,185.0,865.0,1975.92,3612.0,73.33,38.25,120.3,208.87,15.13,9.08,26.15,50.9,1.0,142.0
8_15-2,Pmel1.Il15,752,41467,419.57,345.0,84.0,206.0,539.0,990.7,1656.0,3848.0,48.99,33.78,68.86,124.72,21.68,14.13,29.71,46.51,1.0,333.0
8_15-3,Pmel1.Il15,648,7954,437.0,283.0,30.0,118.0,572.0,1330.0,2519.4,6735.0,61.14,37.84,101.55,202.65,18.51,11.29,28.22,52.12,1.0,454.0
B_08a,Pmel1.Il15,794,16156,361.11,281.0,55.0,151.0,481.0,937.25,1447.0,3392.0,50.94,33.55,76.81,142.15,18.51,11.79,26.55,41.64,1.0,330.0
B_09a,Pmel1.Il15,785,13832,306.29,241.0,44.0,130.0,400.0,784.0,1262.45,3808.0,51.57,34.27,75.0,136.39,19.33,12.19,27.46,41.59,1.0,270.0
B_10b,Pmel1.Il15,779,5573,756.71,493.0,28.0,137.0,1086.0,2429.6,3744.76,7004.0,82.18,47.32,135.97,241.8,26.62,15.26,44.12,80.14,1.0,949.0
B_12b,Pmel1.Il15,777,14619,251.7,190.0,31.0,96.0,338.0,680.0,1077.82,2246.0,46.65,30.44,69.56,126.08,16.35,10.43,23.84,36.67,1.0,242.0
4_B-1,Pmel1.Il21.Il15,798,20767,1259.25,770.0,158.0,401.0,1623.0,4008.0,6429.72,16696.0,75.19,42.45,156.94,359.78,23.89,13.91,44.98,110.77,1.0,1222.0
4_B-2,Pmel1.Il21.Il15,768,12767,1753.77,1245.0,182.0,567.0,2426.0,5061.7,7704.68,16953.0,148.79,72.63,260.69,476.58,43.58,20.82,78.08,145.2,1.0,1859.0
4_B-3,Pmel1.Il21.Il15,753,10053,1504.79,1035.0,101.0,424.0,2121.0,4459.4,6861.04,13650.0,122.96,62.18,212.55,389.81,33.24,17.07,61.01,112.12,1.0,1697.0
8_B-1,Pmel1.Il21.Il15,800,7294,997.33,641.5,70.0,291.25,1304.5,3211.35,5114.91,10640.0,81.89,46.16,154.14,325.29,25.74,15.04,45.97,101.18,1.0,1013.25
8_B-2,Pmel1.Il21.Il15,791,9888,1207.4,935.0,152.0,456.75,1659.25,3147.6,4807.33,9107.0,104.56,59.97,158.77,289.74,37.66,21.13,60.15,93.93,1.0,1202.5
8_B-3,Pmel1.Il21.Il15,646,8855,831.62,570.0,91.0,286.0,1036.0,2515.2,4278.76,8875.0,67.55,43.4,112.96,248.12,22.71,13.64,33.47,72.59,1.0,750.0
B_14b,Pmel1.Il21.Il15,754,5920,1048.11,730.0,87.0,330.75,1415.5,3123.05,4885.53,12251.0,94.65,50.16,166.1,344.73,30.57,17.52,55.76,105.26,1.0,1084.75
B_15b,Pmel1.Il21.Il15,761,10714,939.02,696.0,85.0,310.25,1329.75,2584.7,3834.0,9070.0,92.34,54.41,143.28,239.61,29.53,17.48,49.94,78.05,1.0,1019.5
B_16b,Pmel1.Il21.Il15,628,13253,830.75,620.0,118.0,327.0,1132.0,2192.2,3387.28,7523.0,77.85,45.29,127.25,236.73,26.28,15.9,44.98,79.29,1.0,805.0
B_18a,Pmel1.Il21.Il15,650,11363,551.92,444.0,102.1,260.0,701.0,1323.9,2367.8,5402.0,54.41,36.44,77.78,144.5,21.22,13.23,29.67,51.03,1.0,441.0
